Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.29994299999999996;-2.6879800000000003e-10;-8.511960000000001e-10;-5.823970000000001e-10
-0.295201;-3.07998e-10;-7.391960000000001e-10;-4.3119800000000006e-10
-0.290458;-3.13598e-10;-6.495970000000001e-10;-3.35998e-10
-0.28571599999999997;-3.30398e-10;-5.767970000000001e-10;-2.4639800000000003e-10
-0.280974;-3.7519800000000004e-10;-4.81597e-10;-1.0639900000000001e-10
-0.276232;-3.63998e-10;-3.9759800000000004e-10;-3.3599856e-11
-0.27149;-3.91998e-10;-2.9679800000000003e-10;9.51996e-11
-0.266748;-3.91998e-10;-2.0159900000000002e-10;1.9039900000000003e-10
-0.262005;-3.86398e-10;-1.0079900000000001e-10;2.85598e-10
-0.25726299999999996;-3.6959800000000003e-10;5.599976e-12;3.7519800000000004e-10
-0.252521;-3.41598e-10;1.17599e-10;4.5919700000000005e-10
-0.247779;-2.7439800000000004e-10;2.5199800000000004e-10;5.26397e-10
-0.24303699999999998;-2.57598e-10;3.41598e-10;5.99197e-10
-0.23829399999999998;-2.1279900000000002e-10;4.14398e-10;6.27197e-10
-0.23355199999999998;-2.2399916e-11;6.43997e-10;6.663970000000001e-10
-0.22880999999999999;-2.18399e-10;6.60797e-10;8.791960000000001e-10
-0.224068;-1.0079900000000001e-10;6.663970000000001e-10;7.671960000000001e-10
-0.219326;6.159972800000001e-11;9.183950000000001e-10;8.56796e-10
-0.214583;3.3599848e-11;9.239950000000001e-10;8.903960000000001e-10
-0.209841;8.3999592e-11;8.45596e-10;7.615960000000001e-10
-0.205099;9.519963200000001e-11;8.17596e-10;7.223960000000001e-10
-0.20035699999999998;1.39999e-10;7.503960000000001e-10;6.103970000000001e-10
-0.19561499999999998;2.07199e-10;7.615960000000001e-10;5.54397e-10
-0.190873;2.18399e-10;7.16796e-10;4.98397e-10
-0.18613;2.2959800000000002e-10;6.27197e-10;3.9759800000000004e-10
-0.181388;3.13598e-10;6.27197e-10;3.13598e-10
-0.176646;3.7519800000000004e-10;5.54397e-10;1.79199e-10
-0.171904;4.70397e-10;4.4799800000000004e-10;-2.2399904e-11
-0.167162;4.759970000000001e-10;3.13598e-10;-1.6239900000000002e-10
-0.16241899999999998;5.26397e-10;4.4799808e-11;-4.81597e-10
-0.15767699999999998;5.823970000000001e-10;-1.2319900000000002e-10;-7.055960000000001e-10
-0.152935;5.15197e-10;-3.1919800000000003e-10;-8.343960000000001e-10
-0.148193;4.4799700000000003e-10;-4.927970000000001e-10;-9.407950000000002e-10
-0.143451;3.86398e-10;-6.43997e-10;-1.0303950000000001e-09
-0.138708;3.1919800000000003e-10;-7.72796e-10;-1.091995e-09
-0.133966;2.57598e-10;-8.903960000000001e-10;-1.1479940000000001e-09
-0.129224;1.95999e-10;-9.85595e-10;-1.181594e-09
-0.124482;1.28799e-10;-1.0639950000000001e-09;-1.192794e-09
-0.11974;3.9199756000000006e-11;-1.1255950000000002e-09;-1.1647940000000001e-09
-0.11499799999999999;-6.159972800000001e-11;-1.1703940000000002e-09;-1.108795e-09
-0.11025499999999999;-1.6239900000000002e-10;-1.198394e-09;-1.035995e-09
-0.105513;-2.2399900000000002e-10;-1.1871940000000002e-09;-9.63195e-10
-0.100771;-2.79998e-10;-1.131195e-09;-8.511960000000001e-10
-0.096029288;-3.30398e-10;-1.0639950000000001e-09;-7.335960000000001e-10
-0.09128709600000001;-3.8079800000000005e-10;-9.85595e-10;-6.047970000000001e-10
-0.08654492000000001;-4.36798e-10;-8.959960000000001e-10;-4.5919700000000005e-10
-0.081802728;-4.87197e-10;-7.89596e-10;-3.0239800000000004e-10
-0.077060536;-5.26397e-10;-6.663970000000001e-10;-1.39999e-10
-0.072318352;-5.54397e-10;-5.26397e-10;2.7999880000000002e-11
-0.067576168;-5.767970000000001e-10;-3.6959800000000003e-10;2.07199e-10
-0.06283398;-5.87997e-10;-2.07199e-10;3.8079800000000005e-10
-0.058091792;-5.823970000000001e-10;-3.3599856e-11;5.487970000000001e-10
-0.05334960800000001;-5.655970000000001e-10;1.3439900000000001e-10;6.99996e-10
-0.048607416;-5.15197e-10;3.1919800000000003e-10;8.343960000000001e-10
-0.043865232000000004;-4.4239800000000003e-10;5.03997e-10;9.46395e-10
-0.039123044;-3.7519800000000004e-10;6.71997e-10;1.0471950000000001e-09
-0.034380856;-3.13598e-10;8.063960000000001e-10;1.1199950000000001e-09
-0.029638670000000002;-2.40798e-10;9.29595e-10;1.1703940000000002e-09
-0.024896482;-2.0159900000000002e-10;1.007995e-09;1.2095940000000002e-09
-0.020154296000000002;-1.17599e-10;1.091995e-09;1.2095940000000002e-09
-0.015412108;-5.5999764000000006e-11;1.1535940000000002e-09;1.2095940000000002e-09
-0.010669921;1.1199931000000001e-11;1.1367950000000001e-09;1.1255950000000002e-09
-0.005927733;8.9599552e-11;1.097595e-09;1.007995e-09
-0.001185546;1.3439900000000001e-10;9.967950000000002e-10;8.623960000000001e-10
0.0035566400000000002;1.9039900000000003e-10;9.407950000000002e-10;7.503960000000001e-10
0.008298827;2.23998e-10;9.01596e-10;6.775970000000001e-10
0.013041015000000001;2.2399900000000002e-10;8.063960000000001e-10;5.823970000000001e-10
0.017783200000000002;2.4639800000000003e-10;7.83996e-10;5.375970000000001e-10
0.022525388;2.63198e-10;6.88796e-10;4.2559800000000004e-10
0.027267574000000003;3.30398e-10;6.215970000000001e-10;2.91198e-10
0.032009762000000004;3.4719800000000003e-10;5.31997e-10;1.8479900000000002e-10
0.036751948;3.8079800000000005e-10;4.36798e-10;5.5999760000000004e-11
0.041494136;3.9759800000000004e-10;3.5279800000000005e-10;-4.4799808e-11
0.046236324;5.03997e-10;2.5199800000000004e-10;-2.5199800000000004e-10
0.050978512000000004;4.64797e-10;1.3439900000000001e-10;-3.30398e-10
0.055720696;4.5359800000000005e-10;1.1199952e-11;-4.4239800000000003e-10
0.060462884;3.41598e-10;-1.95999e-10;-5.375970000000001e-10
0.065205068;3.07998e-10;-4.2559800000000004e-10;-7.335960000000001e-10
0.069947256;3.8079800000000005e-10;-4.70397e-10;-8.511960000000001e-10
0.074689448;3.0239800000000004e-10;-5.767970000000001e-10;-8.791960000000001e-10
0.079431632;2.5199800000000004e-10;-5.935970000000001e-10;-8.45596e-10
0.08417382400000001;2.0159900000000002e-10;-6.495970000000001e-10;-8.511960000000001e-10
0.08891600000000001;1.3439900000000001e-10;-6.99996e-10;-8.343960000000001e-10
0.093658192;7.839962400000001e-11;-7.335960000000001e-10;-8.119960000000001e-10
0.09840038400000001;0.0;-7.951960000000001e-10;-7.951960000000001e-10
0.103142;-6.719975200000001e-11;-8.17596e-10;-7.503960000000001e-10
0.107884;-1.7359900000000002e-10;-9.183950000000001e-10;-7.44796e-10
0.11262599999999999;-1.0639900000000001e-10;-8.28796e-10;-7.223960000000001e-10
0.117369;-1.67999e-10;-7.783960000000001e-10;-6.103970000000001e-10
0.122111;-1.95999e-10;-7.055960000000001e-10;-5.095970000000001e-10
0.126853;-2.9679800000000003e-10;-7.55996e-10;-4.5919700000000005e-10
0.131595;-3.13598e-10;-6.43997e-10;-3.30398e-10
0.13633699999999999;-2.9679800000000003e-10;-5.54397e-10;-2.57598e-10
0.14107999999999998;-3.58398e-10;-4.759970000000001e-10;-1.17599e-10
