Applied potential (V);WE current (A);WE current (A);WE current (A)
-0.29994299999999996;-1.56799e-10;-3.5279800000000005e-10;-1.95999e-10
-0.295201;-1.67999e-10;-2.7439800000000004e-10;-1.0639900000000001e-10
-0.290458;-1.56799e-10;-1.95999e-10;-3.9199832000000004e-11
-0.28571599999999997;-1.0639900000000001e-10;-1.0639900000000001e-10;0.0
-0.280974;-3.3599856e-11;-2.2399904e-11;1.1199952e-11
-0.276232;7.279968800000001e-11;5.5999760000000004e-11;-1.6799928e-11
-0.27149;1.45599e-10;1.5119900000000002e-10;5.599976e-12
-0.266748;1.45599e-10;1.7359900000000002e-10;2.7999880000000002e-11
-0.262005;1.8479900000000002e-10;1.6239900000000002e-10;-2.2399904e-11
-0.25726299999999996;1.56799e-10;1.56799e-10;0.0
-0.252521;9.5199592e-11;1.45599e-10;5.0399784000000006e-11
-0.247779;6.159974400000001e-11;1.6239900000000002e-10;1.0079900000000001e-10
-0.24303699999999998;0.0;1.9039900000000003e-10;1.9039900000000003e-10
-0.23829399999999998;-5.0399784000000006e-11;1.2319900000000002e-10;1.7359900000000002e-10
-0.23355199999999998;3.3599856e-11;1.45599e-10;1.11999e-10
-0.22880999999999999;-6.159974400000001e-11;7.279968800000001e-11;1.3439900000000001e-10
-0.224068;-4.4799808e-11;5.5999760000000004e-11;1.0079900000000001e-10
-0.219326;-5.0399784000000006e-11;6.1599736e-11;1.11999e-10
-0.214583;-6.159974400000001e-11;7.279968800000001e-11;1.3439900000000001e-10
-0.209841;-8.399964800000001e-11;5.0399784000000006e-11;1.3439900000000001e-10
-0.205099;1.6799938000000002e-11;1.3439900000000001e-10;1.17599e-10
-0.20035699999999998;-4.4799812000000004e-11;5.0399784000000006e-11;9.51996e-11
-0.19561499999999998;2.7999882000000003e-11;3.3599856e-11;5.599976e-12
-0.190873;1.2319900000000002e-10;2.7999880000000002e-11;-9.51996e-11
-0.18613;2.40798e-10;2.2399904e-11;-2.18399e-10
-0.181388;3.6959800000000003e-10;2.2399904e-11;-3.4719800000000003e-10
-0.176646;6.215970000000001e-10;1.1199952e-11;-6.103970000000001e-10
-0.171904;5.655970000000001e-10;-6.1599736e-11;-6.27197e-10
-0.167162;5.767970000000001e-10;-1.45599e-10;-7.223960000000001e-10
-0.16241899999999998;5.26397e-10;-2.6879800000000003e-10;-7.951960000000001e-10
-0.15767699999999998;4.59198e-10;-3.91998e-10;-8.511960000000001e-10
-0.152935;3.91998e-10;-4.98397e-10;-8.903960000000001e-10
-0.148193;3.41598e-10;-5.767970000000001e-10;-9.183950000000001e-10
-0.143451;2.9679800000000003e-10;-6.32797e-10;-9.29595e-10
-0.138708;2.2959800000000002e-10;-6.99996e-10;-9.29595e-10
-0.133966;1.56799e-10;-7.44796e-10;-9.01596e-10
-0.129224;6.159972800000001e-11;-7.615960000000001e-10;-8.231960000000001e-10
-0.124482;-2.7999882000000003e-11;-7.391960000000001e-10;-7.111960000000001e-10
-0.11974;-1.0639900000000001e-10;-6.71997e-10;-5.655970000000001e-10
-0.11499799999999999;-1.28799e-10;-5.54397e-10;-4.2559800000000004e-10
-0.11025499999999999;-1.39999e-10;-4.4239800000000003e-10;-3.0239800000000004e-10
-0.105513;-1.11999e-10;-3.63998e-10;-2.5199800000000004e-10
-0.100771;-8.3999632e-11;-2.63198e-10;-1.79199e-10
-0.096029288;-8.9599616e-11;-1.8479900000000002e-10;-9.51996e-11
-0.09128709600000001;-1.11999e-10;-1.39999e-10;-2.7999880000000002e-11
-0.08654492000000001;-1.39999e-10;-1.0639900000000001e-10;3.3599856e-11
-0.081802728;-1.9039900000000003e-10;-8.9599616e-11;1.0079900000000001e-10
-0.077060536;-2.2399900000000002e-10;-4.4799808e-11;1.79199e-10
-0.072318352;-2.1279900000000002e-10;1.6799928e-11;2.2959800000000002e-10
-0.067576168;-1.7359900000000002e-10;6.7199712e-11;2.40798e-10
-0.06283398;-1.11999e-10;1.17599e-10;2.2959800000000002e-10
-0.058091792;-4.4799804000000006e-11;1.6239900000000002e-10;2.07199e-10
-0.05334960800000001;2.2399902000000003e-11;2.1279900000000002e-10;1.9039900000000003e-10
-0.048607416;1.0079900000000001e-10;2.79998e-10;1.79199e-10
-0.043865232000000004;1.8479900000000002e-10;3.5279800000000005e-10;1.67999e-10
-0.039123044;2.57598e-10;4.0319800000000005e-10;1.45599e-10
-0.034380856;3.2479800000000004e-10;4.36798e-10;1.11999e-10
-0.029638670000000002;3.7519800000000004e-10;4.5919700000000005e-10;8.399964e-11
-0.024896482;3.9759800000000004e-10;4.5359800000000005e-10;5.5999760000000004e-11
-0.020154296000000002;3.63998e-10;4.08798e-10;4.4799808e-11
-0.015412108;3.13598e-10;3.4719800000000003e-10;3.3599856e-11
-0.010669921;2.4639800000000003e-10;2.6879800000000003e-10;2.2399904e-11
-0.005927733;1.6239900000000002e-10;1.8479900000000002e-10;2.2399904e-11
-0.001185546;1.0079900000000001e-10;1.11999e-10;1.1199952e-11
0.0035566400000000002;6.7199712e-11;7.839966400000001e-11;1.1199952e-11
0.008298827;3.9199832000000004e-11;5.0399784000000006e-11;1.1199952e-11
0.013041015000000001;3.3599856e-11;2.7999880000000002e-11;-5.599976e-12
0.017783200000000002;4.4799808e-11;0.0;-4.4799808e-11
0.022525388;6.159974400000001e-11;-3.3599856e-11;-9.51996e-11
0.027267574000000003;1.2319900000000002e-10;-5.5999760000000004e-11;-1.79199e-10
0.032009762000000004;1.8479900000000002e-10;-9.51996e-11;-2.79998e-10
0.036751948;2.63198e-10;-1.3439900000000001e-10;-3.9759800000000004e-10
0.041494136;3.07998e-10;-1.6239900000000002e-10;-4.70397e-10
